Table,Column,SampleValue
fact_factory_daily,Date,2024-01-01
fact_factory_daily,PlantID,P01
fact_factory_daily,ProductID,PR01
fact_factory_daily,ScenarioID,S00
fact_factory_daily,ProducedUnits,387
fact_factory_daily,DefectiveUnits,11
fact_factory_daily,GoodUnits,376
fact_factory_daily,UnitsSold,346
fact_factory_daily,SellingPricePerUnit,8969.8
fact_factory_daily,DiscountPct,0.0209
fact_factory_daily,RawMaterialCostPerUnit,3652.95
fact_factory_daily,LaborCostPerUnit,953.57
fact_factory_daily,OverheadCostPerUnit,705.71
fact_factory_daily,EnergyCostPerUnit,99.71
fact_factory_daily,MaintenanceCostPerUnit,57.07
fact_factory_daily,DowntimeHours,3.71
fact_factory_daily,GrossRevenue,3103550.8
fact_factory_daily,DiscountAmount,64864.21
fact_factory_daily,NetRevenue,3038686.59
fact_factory_daily,RawMaterialCostTotal,1413691.65
fact_factory_daily,LaborCostTotal,369031.59
fact_factory_daily,OverheadCostTotal,273109.77
fact_factory_daily,EnergyCostTotal,38587.77
fact_factory_daily,MaintenanceCostTotal,22086.09
fact_factory_daily,DefectLoss,53388.7
fact_factory_daily,TotalCost,2169895.57
fact_factory_daily,Profit,868791.02
fact_factory_daily,EfficiencyPct,0.8214
fact_factory_daily,CapacityUtilizationPct,1
dim_date,Date,2024-01-01
dim_date,Year,2024
dim_date,Quarter,Q1
dim_date,MonthNo,1
dim_date,MonthName,Jan
dim_date,YearMonth,2024-01
dim_date,WeekdayNo,1
dim_date,WeekdayName,Mon
dim_date,IsWeekend,0
dim_plant,PlantID,P01
dim_plant,PlantName,Chennai Plant
dim_plant,Region,South
dim_plant,Country,India
dim_plant,CapacityUnitsPerDay,1450
dim_product,ProductID,PR01
dim_product,ProductFamily,Engine Components
dim_product,SKU,ENG-100
dim_product,BaseSellingPrice,8700
dim_product,BaseRawMaterialCost,3800
dim_product,BaseLaborCost,950
dim_product,BaseOverheadCost,700
dim_scenario,ScenarioID,S00
dim_scenario,ScenarioName,Baseline
dim_scenario,CostAdjPct,0.0
dim_scenario,DemandAdjPct,0.0
dim_scenario,DefectAdjPct,0.0
dim_scenario,DowntimeAdjPct,0.0
