Date,PlantID,ProductID,ScenarioID,ProducedUnits,DefectiveUnits,GoodUnits,UnitsSold,SellingPricePerUnit,DiscountPct,RawMaterialCostPerUnit,LaborCostPerUnit,OverheadCostPerUnit,EnergyCostPerUnit,MaintenanceCostPerUnit,DowntimeHours,GrossRevenue,DiscountAmount,NetRevenue,RawMaterialCostTotal,LaborCostTotal,OverheadCostTotal,EnergyCostTotal,MaintenanceCostTotal,DefectLoss,TotalCost,Profit,EfficiencyPct,CapacityUtilizationPct
2024-01-01,P01,PR01,S00,387,11,376,346,8969.8,0.0209,3652.95,953.57,705.71,99.71,57.07,3.71,3103550.8,64864.21,3038686.59,1413691.65,369031.59,273109.77,38587.77,22086.09,53388.7,2169895.57,868791.02,0.8214,1
2024-01-01,P01,PR02,S00,358,10,348,331,6137.77,0.0556,2669.17,879.54,550.52,79.09,47.58,1.3,2031601.87,112957.06,1918644.81,955562.86,314875.32,197086.16,28314.22,17033.64,37413.92,1550286.12,368358.69,0.9194,0.8818
2024-01-01,P01,PR03,S00,346,16,330,307,9409.98,0.0589,4422.48,1189.76,830.37,125.44,77.77,4.26,2888863.86,170154.08,2718709.78,1530178.08,411656.96,287308.02,43402.24,26908.42,94445.91,2393899.63,324810.15,0.7845,1
2024-01-01,P01,PR04,S00,374,6,368,352,7522.47,0.0259,3075.17,923.73,627.52,84.53,47.87,4.0,2647909.44,68580.85,2579328.59,1150113.58,345475.02,234692.48,31614.22,17903.38,25311.19,1805109.87,774218.72,0.82,0.992
2024-01-01,P02,PR01,S00,279,9,270,250,8873.35,0.0255,3713.5,941.79,746.93,107.6,58.9,3.04,2218337.5,56567.61,2161769.89,1036066.5,262759.41,208393.47,30020.4,16433.1,44250.44,1597923.32,563846.57,0.8452,0.93
2024-01-01,P02,PR02,S00,300,8,292,273,6670.74,0.0261,2686.32,862.37,590.84,80.55,48.26,3.65,1821112.02,47531.02,1773581.0,805896.0,258711.0,177252.0,24165.0,14478.0,30043.87,1310545.87,463035.13,0.8253,0.8571
2024-01-01,P02,PR03,S00,274,10,264,244,9537.44,0.0637,4260.9,1175.8,807.54,126.81,67.1,3.77,2327135.36,148238.52,2178896.84,1167486.6,322169.2,221265.96,34745.94,18385.4,57193.39,1821246.49,357650.35,0.8122,0.9964
2024-01-01,P02,PR04,S00,297,8,289,267,7302.99,0.0543,3200.15,901.76,625.28,96.5,51.41,2.35,1949898.33,105879.48,1844018.85,950444.55,267822.72,185708.16,28660.5,15268.77,34566.06,1482470.76,361548.09,0.8778,0.9138
2024-01-01,P03,PR01,S00,311,9,302,289,9023.02,0.0302,3798.52,997.21,728.96,113.97,64.6,3.41,2607652.78,78751.11,2528901.67,1181339.72,310132.31,226706.56,35444.67,20090.6,45457.79,1819171.65,709730.02,0.8331,0.9599
2024-01-01,P03,PR02,S00,323,8,315,299,6169.91,0.0127,2686.65,832.09,577.89,76.52,49.53,3.15,1844803.09,23429.0,1821374.09,867787.95,268765.07,186658.47,24715.96,15998.19,29768.01,1393693.65,427680.44,0.8472,0.8545
2024-01-01,P03,PR03,S00,348,14,334,306,10293.81,0.0437,4442.17,1171.53,787.2,128.9,70.22,2.91,3149905.86,137650.89,3012254.97,1545875.16,407692.44,273945.6,44857.2,24436.56,82449.08,2379256.04,632998.93,0.8434,1
2024-01-01,P03,PR04,S00,367,10,357,332,6855.43,0.0349,3212.35,936.27,653.11,89.2,46.5,2.45,2276002.76,79432.5,2196570.26,1178932.45,343611.09,239691.37,32736.4,17065.5,43772.08,1855808.89,340761.37,0.8735,1
2024-01-02,P01,PR01,S00,405,11,394,372,8331.24,0.0367,3673.43,957.62,724.01,101.1,62.49,2.56,3099221.28,113741.42,2985479.86,1487739.15,387836.1,293224.05,40945.5,25308.45,53728.99,2288782.24,696697.62,0.8691,1
2024-01-02,P01,PR02,S00,390,10,380,368,6124.4,0.0531,2575.36,892.17,572.49,73.48,44.88,0.67,2253779.2,119675.68,2134103.52,1004390.4,347946.3,223271.1,28657.2,17503.2,36679.02,1658447.22,475656.3,0.9472,0.9606
2024-01-02,P01,PR03,S00,330,13,317,303,9558.06,0.0361,4437.79,1136.56,824.82,130.93,61.59,2.33,2896092.18,104548.93,2791543.25,1464470.7,375064.8,272190.6,43206.9,20324.7,76219.48,2251477.18,540066.07,0.8673,1
2024-01-02,P01,PR04,S00,363,9,354,323,7580.93,0.0259,3072.71,907.03,651.59,91.35,46.31,2.54,2448640.39,63419.79,2385220.6,1115393.73,329251.89,236527.17,33160.05,16810.53,37870.17,1769013.54,616207.06,0.872,0.9629
2024-01-02,P02,PR01,S00,280,9,271,255,8962.73,0.015,3658.62,952.1,704.95,108.37,53.52,1.34,2285496.15,34282.44,2251213.71,1024413.6,266588.0,197386.0,30343.6,14985.6,43717.07,1577433.87,673779.84,0.9138,0.9333
2024-01-02,P02,PR02,S00,301,6,295,273,6158.12,0.04,2782.06,854.63,576.96,79.89,40.99,0.0,1681166.76,67246.67,1613920.09,837400.06,257243.63,173664.96,24046.89,12337.99,23031.76,1327725.29,286194.8,0.9801,0.86
2024-01-02,P02,PR03,S00,320,7,313,309,10224.89,0.0437,4204.48,1152.4,785.79,116.81,74.62,3.42,3159491.01,138069.76,3021421.25,1345433.6,368768.0,251452.8,37379.2,23878.4,39423.35,2066335.35,955085.9,0.8387,1
2024-01-02,P02,PR04,S00,296,9,287,269,7598.2,0.0189,3238.21,913.02,652.19,88.03,49.33,3.1,2043915.8,38630.01,2005285.79,958510.16,270253.92,193048.24,26056.88,14601.68,39415.47,1501886.35,503399.44,0.8444,0.9108
2024-01-02,P03,PR01,S00,372,9,363,352,8319.71,0.0197,4031.24,933.46,734.86,107.38,55.82,1.21,2928537.92,57692.2,2870845.72,1499621.28,347247.12,273367.92,39945.36,20765.04,46997.11,2227943.83,642901.89,0.9266,1
2024-01-02,P03,PR02,S00,365,8,357,325,6601.97,0.0252,2553.22,864.93,576.9,72.81,44.8,1.66,2145640.25,54070.13,2091570.12,931925.3,315699.45,210568.5,26575.65,16352.0,28960.52,1530081.42,561488.7,0.9104,0.9656
2024-01-02,P03,PR03,S00,325,11,314,303,9567.3,0.0172,4252.7,1144.59,819.67,113.8,66.37,2.76,2898891.9,49860.94,2849030.96,1382127.5,371991.75,266392.75,36985.0,21570.25,62525.92,2141593.17,707437.79,0.855,1
2024-01-02,P03,PR04,S00,382,11,371,341,7050.04,0.0349,3213.97,936.42,658.88,90.06,47.79,3.02,2404063.64,83901.82,2320161.82,1227736.54,357712.44,251692.16,34402.92,18255.78,48190.98,1937990.82,382171.0,0.849,1
2024-01-03,P01,PR01,S00,401,8,393,390,8890.86,0.0626,3757.89,971.92,738.35,101.6,52.96,1.84,3467435.4,217061.46,3250373.94,1506913.89,389739.92,296078.35,40741.6,21236.96,39905.86,2294616.58,955757.36,0.9049,1
2024-01-03,P01,PR02,S00,364,7,357,341,6482.31,0.0311,2538.82,867.63,566.17,72.94,48.14,2.28,2210467.71,68745.55,2141722.16,924130.48,315817.32,206085.88,26550.16,17522.96,25232.27,1515339.07,626383.09,0.8876,0.8966
2024-01-03,P01,PR03,S00,382,14,368,340,9313.82,0.0378,4231.43,1183.69,810.24,118.6,59.55,2.99,3166698.8,119701.21,3046997.59,1616406.26,452169.58,309511.68,45305.2,22748.1,79781.86,2525922.68,521074.91,0.8433,1
2024-01-03,P01,PR04,S00,350,12,338,321,7501.0,0.0132,3077.18,883.66,612.58,85.26,54.49,0.93,2407821.0,31783.24,2376037.76,1077013.0,309281.0,214403.0,29841.0,19071.5,50102.92,1699712.42,676325.34,0.9283,0.9284
2024-01-03,P02,PR01,S00,323,6,317,291,8503.8,0.0558,4046.76,952.38,733.75,108.82,67.4,3.43,2474605.8,138083.0,2336522.8,1307103.48,307618.74,237001.25,35148.86,21770.2,31535.72,1940178.25,396344.55,0.8412,1
